iter	Passed	Remaining
419	2370	3273
420	2376	3267
421	2381	3261
422	2387	3256
423	2392	3250
424	2398	3245
425	2404	3239
426	2410	3234
427	2416	3228
428	2422	3223
429	2427	3218
430	2433	3213
431	2439	3207
432	2444	3201
433	2450	3196
434	2456	3190
435	2462	3185
436	2468	3179
437	2473	3173
438	2479	3168
439	2485	3162
440	2491	3157
441	2496	3152
442	2502	3146
443	2508	3140
444	2514	3135
445	2519	3129
446	2524	3123
447	2528	3116
448	2533	3109
449	2538	3102
450	2543	3096
451	2549	3090
452	2554	3084
453	2560	3078
454	2565	3072
455	2570	3066
456	2576	3061
457	2581	3055
458	2587	3049
459	2593	3044
460	2598	3038
461	2604	3032
462	2609	3026
463	2614	3020
464	2620	3014
465	2625	3009
466	2631	3003
467	2636	2997
468	2642	2991
469	2648	2986
470	2653	2980
471	2659	2974
472	2665	2969
473	2671	2964
474	2676	2958
475	2682	2953
476	2688	2947
477	2693	2941
478	2699	2936
479	2704	2929
480	2710	2924
481	2715	2918
482	2722	2914
483	2728	2908
484	2734	2903
485	2739	2897
486	2745	2892
487	2750	2885
488	2764	2888
489	2773	2887
490	2783	2885
491	2791	2882
492	2799	2878
493	2806	2874
494	2812	2869
495	2820	2865
496	2827	2861
497	2835	2858
498	2844	2855
499	2851	2851
500	2857	2846
501	2866	2843
502	2871	2837
503	2877	2832
504	2889	2832
505	2895	2827
506	2901	2821
507	2907	2815
508	2913	2810
509	2919	2804
510	2925	2799
511	2930	2793
512	2937	2788
513	2943	2782
514	2949	2777
515	2955	2772
516	2961	2766
517	2967	2760
518	2972	2755
519	2978	2749
520	2984	2744
521	2990	2738
522	2996	2733
523	3002	2727
524	3008	2722
525	3014	2716
526	3020	2711
527	3025	2704
528	3031	2698
529	3036	2693
530	3042	2687
531	3047	2681
532	3052	2674
533	3057	2668
534	3063	2662
535	3068	2656
536	3074	2650
537	3079	2644
538	3084	2638
539	3090	2632
540	3096	2626
541	3101	2620
542	3106	2614
543	3112	2609
544	3118	2603
545	3124	2598
546	3130	2592
547	3135	2586
548	3142	2581
549	3147	2575
550	3153	2569
551	3158	2563
552	3164	2557
553	3170	2552
554	3176	2546
555	3182	2541
556	3188	2535
557	3193	2530
558	3199	2524
559	3206	2519
560	3212	2513
561	3218	2508
562	3223	2502
563	3229	2496
564	3235	2490
565	3241	2485
566	3247	2480
567	3253	2474
568	3259	2469
569	3265	2463
570	3271	2457
571	3276	2451
572	3282	2446
573	3288	2440
574	3294	2435
575	3300	2429
576	3305	2423
577	3311	2418
578	3318	2413
579	3324	2407
580	3329	2401
581	3336	2396
582	3342	2390
583	3348	2385
584	3354	2379
585	3360	2374
586	3366	2368
587	3372	2363
588	3378	2357
589	3384	2351
590	3390	2346
591	3396	2340
592	3401	2334
593	3408	2329
594	3414	2324
595	3420	2318
596	3426	2312
597	3432	2307
598	3438	2301
599	3444	2296
600	3450	2290
601	3455	2284
602	3462	2279
603	3467	2273
604	3473	2267
605	3479	2262
606	3485	2256
607	3491	2250
608	3496	2245
609	3503	2240
610	3509	2234
611	3515	2228
612	3520	2222
613	3527	2217
614	3533	2211
615	3538	2205
616	3544	2200
617	3550	2194
618	3556	2188
619	3563	2183
620	3568	2178
621	3574	2172
622	3579	2166
623	3585	2160
624	3592	2155
625	3598	2149
626	3603	2143
627	3610	2138
628	3616	2132
629	3621	2127
630	3627	2121
631	3632	2115
632	3638	2109
633	3643	2103
634	3649	2097
635	3655	2092
636	3661	2086
637	3667	2081
638	3673	2075
639	3679	2069
640	3685	2064
641	3691	2058
642	3697	2053
643	3703	2047
644	3709	2041
645	3715	2036
646	3721	2030
647	3727	2024
648	3733	2019
649	3739	2013
650	3745	2007
651	3750	2001
652	3756	1996
653	3762	1990
654	3767	1984
655	3773	1978
656	3779	1973
657	3785	1967
658	3791	1961
659	3797	1956
660	3803	1950
661	3809	1944
662	3815	1939
663	3821	1933
664	3827	1928
665	3833	1922
666	3838	1916
667	3844	1910
668	3849	1904
669	3855	1898
670	3860	1892
671	3865	1886
672	3871	1880
673	3876	1874
674	3881	1868
675	3887	1863
676	3892	1857
677	3898	1851
678	3903	1845
679	3909	1839
680	3914	1833
681	3919	1827
682	3925	1821
683	3931	1816
684	3936	1810
685	3942	1804
686	3947	1798
687	3953	1792
688	3958	1786
689	3964	1780
690	3969	1775
691	3974	1769
692	3980	1763
693	3986	1757
694	3991	1751
695	3996	1745
696	4002	1739
697	4007	1733
698	4013	1728
699	4019	1722
700	4024	1716
701	4029	1710
702	4035	1704
703	4041	1699
704	4047	1693
705	4052	1687
706	4058	1681
707	4064	1676
708	4069	1670
709	4075	1664
710	4081	1658
711	4086	1652
712	4091	1647
713	4097	1641
714	4103	1635
715	4108	1629
716	4114	1623
717	4120	1618
718	4126	1612
719	4132	1606
720	4138	1601
721	4143	1595
722	4149	1589
723	4155	1583
724	4160	1578
725	4166	1572
726	4171	1566
727	4177	1560
728	4182	1554
729	4188	1549
730	4194	1543
731	4199	1537
732	4205	1531
733	4211	1526
734	4216	1520
735	4222	1514
736	4227	1508
737	4232	1502
738	4238	1496
739	4244	1491
740	4249	1485
741	4255	1479
742	4260	1473
743	4266	1468
744	4271	1462
745	4277	1456
746	4283	1450
747	4289	1445
748	4294	1439
749	4301	1433
750	4307	1428
751	4313	1422
752	4319	1416
753	4325	1411
754	4330	1405
755	4336	1399
756	4342	1393
757	4348	1388
758	4353	1382
759	4359	1376
760	4365	1370
761	4371	1365
762	4377	1359
763	4383	1353
764	4388	1348
765	4394	1342
766	4400	1336
767	4405	1330
768	4411	1325
769	4417	1319
770	4423	1313
771	4429	1308
772	4434	1302
773	4440	1296
774	4446	1290
775	4451	1285
776	4457	1279
777	4462	1273
778	4468	1267
779	4473	1261
780	4479	1256
781	4485	1250
782	4490	1244
783	4496	1238
784	4502	1233
785	4508	1227
786	4514	1221
787	4519	1215
788	4525	1210
789	4531	1204
790	4536	1198
791	4542	1192
792	4547	1187
793	4553	1181
794	4558	1175
795	4564	1169
796	4569	1163
797	4575	1158
798	4581	1152
799	4586	1146
800	4592	1140
801	4597	1135
802	4603	1129
803	4609	1123
804	4614	1117
805	4620	1112
806	4625	1106
807	4631	1100
808	4637	1094
809	4642	1089
810	4648	1083
811	4654	1077
812	4659	1071
813	4665	1066
814	4670	1060
815	4675	1054
816	4680	1048
817	4685	1042
818	4691	1036
819	4696	1030
820	4702	1025
821	4707	1019
822	4712	1013
823	4718	1007
824	4723	1001
825	4728	996
826	4733	990
827	4738	984
828	4743	978
829	4749	972
830	4755	967
831	4760	961
832	4766	955
833	4771	949
834	4777	943
835	4782	938
836	4787	932
837	4792	926
838	4798	920
839	4804	915
840	4810	909
841	4816	903
842	4822	898
843	4827	892
844	4833	886
845	4839	880
846	4845	875
847	4851	869
848	4856	863
849	4862	858
850	4868	852
851	4874	846
852	4879	840
853	4885	835
854	4891	829
855	4897	823
856	4902	818
857	4908	812
858	4913	806
859	4919	800
860	4925	795
861	4930	789
862	4936	783
863	4942	778
864	4948	772
865	4954	766
866	4959	760
867	4965	755
868	4971	749
869	4976	743
870	4982	737
871	4988	732
872	4994	726
873	4999	720
874	5005	715
875	5011	709
876	5017	703
877	5023	697
878	5029	692
879	5034	686
880	5040	680
881	5046	675
882	5051	669
883	5057	663
884	5063	657
885	5068	652
886	5074	646
887	5080	640
888	5086	635
889	5091	629
890	5097	623
891	5103	617
892	5109	612
893	5114	606
894	5120	600
895	5126	595
896	5131	589
897	5137	583
898	5143	577
899	5148	572
900	5154	566
901	5160	560
902	5165	554
903	5171	549
904	5176	543
905	5182	537
906	5188	532
907	5194	526
908	5199	520
909	5205	514
910	5211	509
911	5216	503
912	5222	497
913	5228	491
914	5233	486
915	5238	480
916	5243	474
917	5249	468
918	5255	463
919	5261	457
920	5267	451
921	5273	446
922	5279	440
923	5284	434
924	5290	428
925	5296	423
926	5302	417
927	5307	411
928	5313	406
929	5319	400
930	5325	394
931	5330	388
932	5336	383
933	5341	377
934	5347	371
935	5353	366
936	5359	360
937	5365	354
938	5371	348
939	5376	343
940	5382	337
941	5387	331
942	5392	325
943	5398	320
944	5404	314
945	5410	308
946	5416	303
947	5422	297
948	5428	291
949	5434	286
950	5441	280
951	5447	274
952	5452	268
953	5458	263
954	5463	257
955	5469	251
956	5474	245
957	5480	240
958	5485	234
959	5491	228
960	5497	223
961	5502	217
962	5508	211
963	5513	205
964	5519	200
965	5525	194
966	5530	188
967	5536	183
968	5541	177
969	5547	171
970	5553	165
971	5558	160
972	5564	154
973	5570	148
974	5575	142
975	5581	137
976	5587	131
977	5592	125
978	5598	120
979	5604	114
980	5609	108
981	5615	102
982	5620	97
983	5626	91
984	5632	85
985	5637	80
986	5643	74
987	5648	68
988	5654	62
989	5659	57
990	5665	51
991	5671	45
992	5676	40
993	5682	34
994	5688	28
995	5693	22
996	5699	17
997	5704	11
998	5710	5
999	5716	0
