iter	Passed	Remaining
413	4244	6007
414	4255	5998
415	4264	5987
416	4275	5977
417	4286	5968
418	4296	5957
419	4308	5949
420	4325	5949
421	4345	5951
422	4360	5947
423	4374	5942
424	4389	5938
425	4404	5935
426	4417	5927
427	4427	5917
428	4447	5918
429	4459	5910
430	4472	5904
431	4484	5896
432	4498	5890
433	4509	5880
434	4524	5876
435	4537	5869
436	4550	5863
437	4565	5857
438	4575	5847
439	4588	5839
440	4601	5833
441	4620	5832
442	4632	5824
443	4646	5818
444	4656	5807
445	4667	5797
446	4678	5787
447	4688	5777
448	4701	5769
449	4718	5767
450	4730	5757
451	4740	5747
452	4750	5736
453	4761	5726
454	4770	5714
455	4783	5706
456	4793	5696
457	4804	5685
458	4814	5674
459	4827	5666
460	4837	5655
461	4848	5646
462	4860	5636
463	4870	5626
464	4880	5615
465	4891	5604
466	4900	5593
467	4910	5582
468	4921	5571
469	4931	5561
470	4941	5550
471	4952	5539
472	4961	5528
473	4972	5518
474	4984	5508
475	4993	5497
476	5003	5486
477	5014	5475
478	5023	5464
479	5035	5454
480	5043	5442
481	5054	5432
482	5065	5421
483	5074	5410
484	5085	5400
485	5097	5391
486	5107	5379
487	5117	5369
488	5127	5358
489	5138	5348
490	5149	5338
491	5160	5328
492	5170	5317
493	5181	5307
494	5192	5296
495	5201	5285
496	5210	5273
497	5220	5262
498	5232	5253
499	5243	5243
500	5253	5232
501	5268	5226
502	5282	5219
503	5293	5209
504	5303	5198
505	5316	5190
506	5328	5181
507	5339	5171
508	5350	5161
509	5364	5153
510	5375	5144
511	5386	5133
512	5397	5124
513	5408	5114
514	5420	5105
515	5430	5094
516	5442	5084
517	5452	5074
518	5463	5063
519	5473	5052
520	5483	5041
521	5493	5030
522	5504	5020
523	5514	5009
524	5525	4999
525	5535	4988
526	5545	4977
527	5556	4967
528	5567	4957
529	5577	4945
530	5588	4935
531	5598	4925
532	5608	4914
533	5618	4903
534	5630	4893
535	5641	4883
536	5652	4873
537	5664	4864
538	5674	4853
539	5685	4843
540	5695	4832
541	5705	4821
542	5716	4810
543	5727	4800
544	5737	4790
545	5748	4780
546	5760	4770
547	5770	4759
548	5782	4750
549	5792	4739
550	5802	4728
551	5812	4717
552	5822	4706
553	5832	4695
554	5842	4684
555	5852	4673
556	5863	4663
557	5873	4652
558	5883	4641
559	5894	4631
560	5904	4620
561	5914	4609
562	5925	4599
563	5935	4588
564	5946	4578
565	5957	4568
566	5967	4557
567	5977	4546
568	5987	4535
569	5996	4523
570	6007	4513
571	6017	4502
572	6028	4492
573	6039	4482
574	6052	4473
575	6063	4463
576	6075	4454
577	6089	4445
578	6101	4436
579	6112	4426
580	6124	4416
581	6136	4407
582	6148	4397
583	6158	4387
584	6170	4377
585	6181	4367
586	6191	4356
587	6203	4346
588	6214	4336
589	6223	4325
590	6235	4315
591	6245	4304
592	6256	4294
593	6267	4283
594	6277	4272
595	6288	4262
596	6298	4251
597	6308	4241
598	6318	4230
599	6329	4219
600	6339	4208
601	6349	4197
602	6361	4188
603	6372	4177
604	6381	4166
605	6392	4156
606	6403	4145
607	6412	4134
608	6423	4124
609	6433	4112
610	6443	4102
611	6454	4091
612	6464	4081
613	6475	4070
614	6486	4060
615	6497	4050
616	6508	4040
617	6519	4029
618	6528	4018
619	6541	4009
620	6551	3998
621	6561	3987
622	6572	3977
623	6584	3967
624	6594	3956
625	6605	3946
626	6615	3935
627	6625	3924
628	6635	3913
629	6646	3903
630	6655	3892
631	6665	3881
632	6675	3870
633	6686	3860
634	6696	3849
635	6705	3837
636	6715	3826
637	6724	3815
638	6735	3805
639	6745	3794
640	6754	3783
641	6766	3773
642	6776	3762
643	6785	3751
644	6796	3740
645	6806	3729
646	6815	3718
647	6825	3707
648	6836	3697
649	6848	3687
650	6858	3677
651	6868	3666
652	6880	3656
653	6892	3646
654	6904	3636
655	6914	3625
656	6925	3615
657	6935	3604
658	6945	3593
659	6955	3582
660	6964	3571
661	6976	3561
662	6985	3550
663	6996	3540
664	7008	3530
665	7019	3520
666	7030	3509
667	7041	3499
668	7052	3489
669	7062	3478
670	7074	3468
671	7084	3457
672	7094	3447
673	7105	3436
674	7115	3425
675	7125	3415
676	7135	3404
677	7145	3393
678	7155	3382
679	7165	3371
680	7174	3360
681	7186	3351
682	7197	3340
683	7207	3329
684	7218	3319
685	7228	3308
686	7237	3297
687	7248	3287
688	7259	3276
689	7269	3266
690	7281	3256
691	7293	3246
692	7302	3234
693	7313	3224
694	7323	3213
695	7333	3203
696	7344	3192
697	7353	3181
698	7365	3171
699	7376	3161
700	7386	3150
701	7397	3140
702	7408	3129
703	7417	3118
704	7427	3108
705	7437	3097
706	7446	3086
707	7457	3075
708	7465	3064
709	7476	3053
710	7486	3042
711	7494	3031
712	7504	3020
713	7513	3009
714	7524	2999
715	7534	2988
716	7543	2977
717	7554	2967
718	7563	2956
719	7573	2945
720	7583	2934
721	7592	2923
722	7602	2912
723	7611	2901
724	7622	2891
725	7634	2881
726	7643	2870
727	7656	2860
728	7666	2850
729	7676	2839
730	7687	2828
731	7698	2818
732	7708	2807
733	7721	2798
734	7732	2788
735	7743	2777
736	7753	2767
737	7765	2757
738	7776	2746
739	7786	2735
740	7797	2725
741	7806	2714
742	7816	2703
743	7827	2693
744	7836	2682
745	7848	2672
746	7859	2662
747	7869	2651
748	7881	2641
749	7890	2630
750	7900	2619
751	7912	2609
752	7924	2599
753	7933	2588
754	7943	2577
755	7953	2566
756	7962	2556
757	7972	2545
758	7982	2534
759	7993	2524
760	8004	2513
761	8013	2503
762	8024	2492
763	8035	2482
764	8044	2471
765	8056	2461
766	8067	2450
767	8076	2439
768	8087	2429
769	8097	2418
770	8108	2408
771	8120	2398
772	8130	2387
773	8140	2376
774	8150	2366
775	8161	2355
776	8172	2345
777	8183	2335
778	8192	2324
779	8203	2313
780	8214	2303
781	8224	2292
782	8236	2282
783	8248	2272
784	8258	2261
785	8268	2251
786	8279	2240
787	8289	2230
788	8301	2219
789	8311	2209
790	8322	2198
791	8333	2188
792	8345	2178
793	8354	2167
794	8364	2156
795	8374	2146
796	8384	2135
797	8395	2125
798	8405	2114
799	8414	2103
800	8424	2093
801	8434	2082
802	8445	2071
803	8454	2061
804	8464	2050
805	8474	2039
806	8483	2028
807	8494	2018
808	8504	2007
809	8514	1997
810	8525	1986
811	8536	1976
812	8545	1965
813	8556	1955
814	8566	1944
815	8577	1934
816	8588	1923
817	8597	1912
818	8608	1902
819	8618	1891
820	8628	1881
821	8639	1870
822	8649	1860
823	8659	1849
824	8670	1839
825	8681	1828
826	8691	1818
827	8701	1807
828	8712	1797
829	8722	1786
830	8734	1776
831	8744	1765
832	8754	1755
833	8764	1744
834	8773	1733
835	8784	1723
836	8794	1712
837	8806	1702
838	8818	1692
839	8828	1681
840	8838	1671
841	8849	1660
842	8860	1650
843	8870	1639
844	8881	1629
845	8893	1618
846	8904	1608
847	8915	1598
848	8925	1587
849	8937	1577
850	8947	1566
851	8957	1556
852	8966	1545
853	8977	1534
854	8987	1524
855	8997	1513
856	9007	1503
857	9017	1492
858	9027	1481
859	9037	1471
860	9047	1460
861	9058	1450
862	9068	1439
863	9078	1429
864	9088	1418
865	9098	1407
866	9108	1397
867	9119	1386
868	9128	1376
869	9140	1365
870	9150	1355
871	9160	1344
872	9171	1334
873	9182	1323
874	9192	1313
875	9202	1302
876	9213	1292
877	9223	1281
878	9233	1271
879	9243	1260
880	9253	1249
881	9263	1239
882	9273	1228
883	9284	1218
884	9294	1207
885	9305	1197
886	9315	1186
887	9325	1176
888	9335	1165
889	9345	1155
890	9355	1144
891	9366	1134
892	9376	1123
893	9385	1112
894	9395	1102
895	9406	1091
896	9416	1081
897	9427	1070
898	9436	1060
899	9447	1049
900	9457	1039
901	9467	1028
902	9477	1018
903	9487	1007
904	9496	996
905	9507	986
906	9516	975
907	9526	965
908	9535	954
909	9545	944
910	9556	933
911	9565	923
912	9575	912
913	9586	901
914	9596	891
915	9606	880
916	9617	870
917	9626	859
918	9637	849
919	9647	838
920	9658	828
921	9669	818
922	9679	807
923	9690	797
924	9701	786
925	9711	776
926	9720	765
927	9730	754
928	9740	744
929	9750	733
930	9760	723
931	9769	712
932	9780	702
933	9790	691
934	9800	681
935	9811	670
936	9821	660
937	9830	649
938	9840	639
939	9850	628
940	9860	618
941	9869	607
942	9879	597
943	9888	586
944	9898	576
945	9908	565
946	9918	555
947	9928	544
948	9938	534
949	9948	523
950	9959	513
951	9969	502
952	9978	492
953	9989	481
954	9999	471
955	10009	460
956	10019	450
957	10028	439
958	10039	429
959	10049	418
960	10058	408
961	10069	397
962	10078	387
963	10088	376
964	10098	366
965	10108	355
966	10119	345
967	10130	334
968	10139	324
969	10150	313
970	10160	303
971	10170	292
972	10180	282
973	10190	272
974	10200	261
975	10210	251
976	10220	240
977	10231	230
978	10241	219
979	10251	209
980	10262	198
981	10272	188
982	10282	177
983	10293	167
984	10303	156
985	10312	146
986	10322	135
987	10332	125
988	10342	115
989	10352	104
990	10363	94
991	10374	83
992	10383	73
993	10394	62
994	10404	52
995	10412	41
996	10423	31
997	10433	20
998	10443	10
999	10454	0
