iter	Logloss
0	0.6732297974
1	0.6541138916
2	0.6361797485
3	0.6195150146
4	0.6038288574
5	0.5887613525
6	0.5755073242
7	0.5616008301
8	0.5483581543
9	0.5360751953
10	0.5250186768
11	0.5148902588
12	0.5055060425
13	0.4969705811
14	0.4896801758
15	0.4832425842
16	0.4746326294
17	0.4686384277
18	0.4618005066
19	0.4564209595
20	0.451162384
21	0.4456506348
22	0.4402902832
23	0.4353032227
24	0.4314235535
25	0.4262337952
26	0.4226690063
27	0.417979187
28	0.4149660034
29	0.4120099182
30	0.4081176758
31	0.4041279907
32	0.4015881042
33	0.3987039185
34	0.3953320007
35	0.3920872498
36	0.3900202026
37	0.3880925293
38	0.3861660156
39	0.3844394531
40	0.3826985168
41	0.3809824829
42	0.3790341187
43	0.3775006104
44	0.3751898499
45	0.3734031372
46	0.3716346741
47	0.3700417786
48	0.3687342224
49	0.3674738159
50	0.3660299072
51	0.3648062134
52	0.3637125244
53	0.3620718384
54	0.3605108948
55	0.3594193115
56	0.3584080811
57	0.3576111145
58	0.3563598938
59	0.3556077881
60	0.3550043945
61	0.3541550903
62	0.3530797119
63	0.3523395081
64	0.3515426025
65	0.350745575
66	0.3504968872
67	0.3496582031
68	0.3486695557
69	0.3480621338
70	0.3474007568
71	0.3467554321
72	0.3459251099
73	0.3450215149
74	0.3445406799
75	0.3439340515
76	0.343454834
77	0.3430849304
78	0.3426025696
79	0.3422583313
80	0.3415670776
81	0.3412595215
82	0.3406740112
83	0.34023526
84	0.3396220703
85	0.3391895447
86	0.3388527222
87	0.33843927
88	0.3380198059
89	0.3375646973
90	0.3372094116
91	0.3368829956
92	0.3364227295
93	0.3360875244
94	0.335706543
95	0.3351997681
96	0.3349154663
97	0.3343928223
98	0.3340014648
99	0.3334780884
100	0.3331324463
101	0.3327772522
102	0.3323008423
103	0.3320207214
104	0.3317972717
105	0.3315135498
106	0.3311668701
107	0.330873291
108	0.3305842285
109	0.3302135315
110	0.3300012207
111	0.3298083496
112	0.3293781738
113	0.3289335327
114	0.3286173096
115	0.3283821106
116	0.3281856079
117	0.3277668457
118	0.3275240479
119	0.3273644409
120	0.3269598389
121	0.3267996826
122	0.3265914917
123	0.3261288452
124	0.3258335571
125	0.3256343384
126	0.3254705505
127	0.3251999512
128	0.3248712769
129	0.3246916199
130	0.324519104
131	0.324312561
132	0.3240881958
133	0.323840332
134	0.3236089783
135	0.3233713989
136	0.3231198425
137	0.3229351501
138	0.322737793
139	0.3225192261
140	0.3222962036
141	0.3221509094
142	0.3219960327
143	0.3218635864
144	0.3217108765
145	0.3215884705
146	0.3213613281
147	0.3211225281
148	0.3209302368
149	0.3207578125
150	0.320467804
151	0.3201837158
152	0.3200732422
153	0.3198469849
154	0.3196221924
155	0.3194020996
156	0.3191566467
157	0.3188988647
158	0.3187604065
159	0.3186906433
160	0.3186001892
161	0.3184317627
162	0.3182199097
163	0.3179794922
164	0.3178477173
165	0.3176721802
166	0.3174107056
167	0.3172321777
168	0.3170582886
169	0.3169834595
170	0.3167659912
171	0.3166819763
172	0.3164862061
173	0.3163173828
174	0.3161387939
175	0.3159608765
176	0.3158182983
177	0.3155910645
178	0.3154678345
179	0.3152503052
180	0.3150268555
181	0.3148782959
182	0.3146508179
183	0.3144923096
184	0.3143231812
185	0.3141436157
186	0.3139957275
187	0.3138461914
188	0.3137522583
189	0.3136067505
190	0.3135059814
191	0.3133506775
192	0.3132077637
193	0.3131102905
194	0.3129705811
195	0.3127564087
196	0.312527771
197	0.3123253784
198	0.3121777954
199	0.3120713196
200	0.3119792786
201	0.3119496765
202	0.3118079224
203	0.3116543884
204	0.3114763794
205	0.3113672485
206	0.311213562
207	0.3111481323
208	0.3110396729
209	0.3108564758
210	0.3107307739
211	0.3105823975
212	0.3104736633
213	0.310369873
214	0.3101782227
215	0.3100202637
216	0.3098963623
217	0.3098569946
218	0.3097930908
219	0.3096417847
220	0.3095506287
221	0.3094552917
222	0.3093069763
223	0.3092231445
224	0.3090802002
225	0.3089782715
226	0.3088758545
227	0.3087041931
228	0.3085473022
229	0.3083344727
230	0.3081203003
231	0.3080303345
232	0.3078791504
233	0.3077039185
234	0.3074869385
235	0.3073742981
236	0.3072418823
237	0.3071240234
238	0.3070073242
239	0.306900116
240	0.3067830505
241	0.3066572876
242	0.306505188
243	0.3064107971
244	0.3062619324
245	0.3061109619
246	0.3059787598
247	0.305812439
248	0.3056174316
249	0.305503479
250	0.3054582214
251	0.3053518066
252	0.3052458496
253	0.3051420898
254	0.3049726562
255	0.3048747559
256	0.3047342529
257	0.3046237793
258	0.3044013672
259	0.3042592773
260	0.3041629639
261	0.3040066528
262	0.3039440918
263	0.303840271
264	0.3037972412
265	0.3036006165
266	0.3035327148
267	0.3034795532
268	0.3033743286
269	0.3032383118
270	0.3030767517
271	0.3029406738
272	0.302829834
273	0.3026395264
274	0.3025053101
275	0.3024232788
276	0.3023112793
277	0.302194458
278	0.3020501709
279	0.301940918
280	0.3018641968
281	0.3017289429
282	0.3016110535
283	0.3015334778
284	0.3014935913
285	0.3012827148
286	0.3010551758
287	0.3009168091
288	0.3007750854
289	0.3006140137
290	0.3004859619
291	0.3003997803
292	0.3003364868
293	0.3002140198
294	0.3000368958
295	0.2999288635
296	0.2997952271
297	0.2996211853
298	0.2994765625
299	0.2993337402
300	0.2992254028
301	0.2991061401
302	0.2989809265
303	0.2988156738
304	0.298750061
305	0.298680603
306	0.2985776978
307	0.2984326172
308	0.298260376
309	0.2981173706
310	0.2979837341
311	0.2978790588
312	0.2977833252
313	0.2976634521
314	0.2975349121
315	0.2974483032
316	0.2973331299
317	0.2972415771
318	0.2970886841
319	0.2969834595
320	0.2967827148
321	0.2966719971
322	0.2965574951
323	0.2964283752
324	0.2963547363
325	0.2962285156
326	0.2960537415
327	0.2959130249
328	0.2957440186
329	0.2956959839
330	0.2955978394
331	0.29543573
332	0.2953205566
333	0.2952332764
334	0.2950935669
335	0.2949884033
336	0.2949143066
337	0.2948521729
338	0.2947171021
339	0.2945958862
340	0.2944882812
341	0.2944054565
342	0.2943161621
343	0.2941783752
344	0.2940158997
345	0.2938306274
346	0.2937644653
347	0.2936490784
348	0.2935079346
349	0.2933827515
350	0.2932785034
351	0.2931834412
352	0.2930585632
353	0.2930008545
354	0.2928595581
355	0.2927293091
356	0.2926340027
357	0.2925643616
358	0.2924450684
359	0.2922900391
360	0.2921609802
361	0.2920582581
362	0.2919777832
363	0.2918933716
364	0.2917767334
365	0.2916782837
366	0.2915256958
367	0.2913872681
368	0.2912843933
369	0.2911358643
370	0.2909110413
371	0.2907733459
372	0.2906346436
373	0.2905587158
374	0.2904465637
375	0.2903328552
376	0.2902322693
377	0.2901367798
378	0.2900000305
379	0.2898887939
380	0.2897928467
381	0.2897106018
382	0.289586731
383	0.2894088135
384	0.2892291565
385	0.2890938721
386	0.2890077515
387	0.2889122314
388	0.2888081055
389	0.2887358398
390	0.2886431885
391	0.2885469055
392	0.2884360046
393	0.2883564453
394	0.2882564697
395	0.2881472168
396	0.2880491638
397	0.2879723511
398	0.2878866577
399	0.2877593384
400	0.2876507263
401	0.2875874939
402	0.2874718323
403	0.2873734741
404	0.2872642212
405	0.2871641235
406	0.2870959473
407	0.287015564
408	0.2869341736
409	0.2868109741
410	0.2866777954
411	0.2865458679
412	0.2864458618
413	0.2863560486
414	0.2862302856
415	0.2861077271
416	0.2860110779
417	0.2859127197
418	0.2858065186
419	0.285651001
420	0.2855734253
421	0.2854671021
422	0.2853552856
423	0.2852678223
424	0.2851799622
425	0.2850844727
426	0.2849587402
427	0.2848581238
428	0.2847696533
429	0.2846506958
430	0.2844542847
431	0.2843731384
432	0.2842756653
433	0.2841957397
434	0.2840588074
435	0.2839174194
436	0.2838294067
437	0.2837399292
438	0.2836356201
439	0.2835479736
440	0.2834239197
441	0.2833440552
442	0.2832307129
443	0.2830967407
444	0.2829852905
445	0.2828807678
446	0.2827828369
447	0.2826842041
448	0.2825335388
449	0.2823920593
450	0.2822227478
451	0.2821416016
452	0.2820410461
453	0.281959137
454	0.2818369751
455	0.281727478
456	0.2816178894
457	0.2814614563
458	0.2813591309
459	0.2812531128
460	0.281153595
461	0.2809963989
462	0.280854248
463	0.2807543335
464	0.2806059265
465	0.280515625
466	0.2804007263
467	0.2802950745
468	0.2801793518
469	0.2799953613
470	0.2798352661
471	0.2797615051
472	0.2796408691
473	0.2795662842
474	0.2794567261
475	0.2793162842
476	0.279244873
477	0.2791347961
478	0.2790292358
479	0.2789602661
480	0.2788345337
481	0.2787457886
482	0.2786729736
483	0.27856073
484	0.2784269104
485	0.2783338928
486	0.2782254333
487	0.2780875549
488	0.2779978943
489	0.277870575
490	0.2777365417
491	0.2775948486
492	0.2775246582
493	0.2774238281
494	0.2773058777
495	0.2772067261
496	0.277139679
497	0.2770428162
498	0.2769815674
499	0.2768354492
500	0.2767479858
501	0.2766247253
502	0.2765440674
503	0.2764610596
504	0.2763869019
505	0.2762219238
506	0.2761201172
507	0.2760466309
508	0.275981781
509	0.275864563
510	0.2757445374
511	0.275664917
512	0.27558255
513	0.2754951782
514	0.2754111328
515	0.2753251953
516	0.2751957397
517	0.2751106873
518	0.2750256958
519	0.274895813
520	0.274816925
521	0.2746950989
522	0.2745867615
523	0.2745235596
524	0.2744151001
525	0.2743311768
526	0.2742249451
527	0.2741497192
528	0.2740339355
529	0.2738988953
530	0.2737480774
531	0.2736504517
532	0.2735039978
533	0.2734343872
534	0.2733536377
535	0.2732733765
536	0.2731671143
537	0.2730736694
538	0.2729975586
539	0.2728960876
540	0.2727931519
541	0.2726593323
542	0.2725315857
543	0.2724356079
544	0.272349823
545	0.272219696
546	0.2721207275
547	0.2720199585
548	0.2719093628
549	0.2718345337
550	0.2717490845
551	0.2716445923
552	0.2715791626
553	0.2714921875
554	0.2714295959
555	0.2713268433
556	0.2711998901
557	0.2711195679
558	0.2710668945
559	0.2709536133
560	0.2708161926
561	0.2707501831
562	0.2706505737
563	0.2705606079
564	0.2704505615
565	0.2703126831
566	0.2702278137
567	0.2701420898
568	0.2700626221
569	0.270010376
570	0.269948822
571	0.2698609009
572	0.2697848816
573	0.2696862793
574	0.2695791626
575	0.2694914246
576	0.2693960571
577	0.2692809448
578	0.2691261902
579	0.2690113525
580	0.2689182739
581	0.2688220215
582	0.2687263489
583	0.2686534119
584	0.268519104
585	0.2684051208
586	0.2683010864
587	0.2681693115
588	0.268093689
589	0.2680184326
590	0.2679293213
591	0.2678075867
592	0.2677217712
593	0.2676502075
594	0.267546875
595	0.2673896484
596	0.2673267822
597	0.2672271118
598	0.2671352234
599	0.2670125732
600	0.2669333496
601	0.2668642273
602	0.2667502747
603	0.2666679687
604	0.2665706787
605	0.2664697266
606	0.2663570557
607	0.2662678833
608	0.2661605225
609	0.266074646
610	0.2660150757
611	0.2658580322
612	0.2657303162
613	0.265649292
614	0.2655666809
615	0.2654695435
616	0.2653673706
617	0.2652900085
618	0.2651690674
619	0.2650597534
620	0.2649525146
621	0.2648555908
622	0.26476297
623	0.2646919556
624	0.2645718994
625	0.2644588013
626	0.264368042
627	0.2642896118
628	0.2641755981
629	0.2640290527
630	0.2639564819
631	0.2638699341
632	0.2637980957
633	0.2637903137
634	0.2636976318
635	0.2635991211
636	0.2635203247
637	0.2633804321
638	0.2632572632
639	0.2631619263
640	0.263102478
641	0.263025177
642	0.2629022217
643	0.2628221436
644	0.2627529907
645	0.2626423645
646	0.2625202637
647	0.2623969727
648	0.262336853
649	0.2622409668
650	0.2621448059
651	0.2620344238
652	0.2619563599
653	0.2618380737
654	0.261718689
655	0.2617025757
656	0.2616298218
657	0.2615581665
658	0.2614864502
659	0.2613531189
660	0.2612581177
661	0.2611524048
662	0.2611022034
663	0.261010437
664	0.2609197998
665	0.2607766113
666	0.2606877441
667	0.2605769958
668	0.2605313721
669	0.2604343872
670	0.2603447876
671	0.260244873
672	0.2601846924
673	0.2600944214
674	0.2600351868
675	0.2598876953
676	0.2597987366
677	0.2596630859
678	0.2595829468
679	0.2595024109
680	0.2594542542
681	0.2593687134
682	0.2592042847
683	0.2591511841
684	0.2590558167
685	0.2589412231
686	0.2588358154
687	0.2587746277
688	0.2586524658
689	0.2585484619
690	0.2584533081
691	0.2583571777
692	0.2582920532
693	0.2582207031
694	0.2581183167
695	0.2580799255
696	0.2579682617
697	0.2578714294
698	0.2577481689
699	0.2576612549
700	0.2575971069
701	0.2575061035
702	0.2574347534
703	0.2573487549
704	0.2572568665
705	0.2572471619
706	0.2571591187
707	0.2570674133
708	0.2569855347
709	0.2568924255
710	0.2567631836
711	0.2566343994
712	0.2565707397
713	0.2564899902
714	0.2563865967
715	0.2562909851
716	0.25621875
717	0.2560690308
718	0.2559739075
719	0.2558871918
720	0.2558221893
721	0.2557614746
722	0.2556521606
723	0.2555723419
724	0.2554906006
725	0.2554355316
726	0.2553683472
727	0.2552181244
728	0.2551193695
729	0.2550271606
730	0.2549682159
731	0.2548860779
732	0.2548183899
733	0.2547634583
734	0.2546972046
735	0.2546334686
736	0.2545512085
737	0.2544392242
738	0.2543722076
739	0.2543127441
740	0.2541970062
741	0.2541243896
742	0.254032135
743	0.2539187317
744	0.2538469543
745	0.2537921753
746	0.2536752625
747	0.253552063
748	0.2534679871
749	0.2533751221
750	0.2532351685
751	0.2531442871
752	0.2530108643
753	0.2529228821
754	0.2528435211
755	0.2527800751
756	0.2527170715
757	0.2526617432
758	0.2525800629
759	0.2524941406
760	0.2524015198
761	0.2523251343
762	0.2522436829
763	0.2521491852
764	0.2520662231
765	0.2519671478
766	0.2518884277
767	0.2517613831
768	0.2516480408
769	0.251579895
770	0.251468811
771	0.2514043884
772	0.2513441162
773	0.2512627258
774	0.251178894
775	0.2510455322
776	0.2509824982
777	0.2508807068
778	0.2508019867
779	0.2507267151
780	0.2505852814
781	0.2504649658
782	0.2503893127
783	0.2502884216
784	0.2501940918
785	0.2501051331
786	0.2500330658
787	0.2499315033
788	0.2498781891
789	0.2498209839
790	0.2497316284
791	0.2496593628
792	0.2495464478
793	0.2494808044
794	0.2493714905
795	0.2492891235
796	0.2492071228
797	0.2491247864
798	0.2490225525
799	0.248951355
800	0.2488725891
801	0.2487983398
802	0.248713562
803	0.248705368
804	0.2486595306
805	0.2485587769
806	0.2485026398
807	0.2484098816
808	0.2483393097
809	0.2482385864
810	0.248158783
811	0.2480848389
812	0.2479976807
813	0.2479035645
814	0.2478447113
815	0.2477887573
816	0.2476946869
817	0.2476234131
818	0.2475635834
819	0.2475093079
820	0.2474342041
821	0.2473004761
822	0.2472115784
823	0.2471216431
824	0.2470391998
825	0.2469710999
826	0.2468968201
827	0.2468406677
828	0.2467580261
829	0.2466829529
830	0.2466003571
831	0.2465319977
832	0.2464769745
833	0.2464274902
834	0.2462709045
835	0.2461466217
836	0.2460665283
837	0.2459741516
838	0.2458867798
839	0.2458014526
840	0.2457548523
841	0.2456966858
842	0.2456266174
843	0.24554216
844	0.2454667053
845	0.2453829041
846	0.2453125916
847	0.245228363
848	0.2452215881
849	0.2451167908
850	0.2449968262
851	0.2448695679
852	0.2448366394
853	0.2447963867
854	0.2447268677
855	0.2446663818
856	0.244566925
857	0.2444377136
858	0.2443663025
859	0.244289917
860	0.2442090759
861	0.2441348572
862	0.2440466156
863	0.2439663391
864	0.2438771515
865	0.2438061218
866	0.2437494507
867	0.2436809845
868	0.2436086731
869	0.2435274811
870	0.2434500122
871	0.2433503418
872	0.243281601
873	0.2432013245
874	0.2431260986
875	0.2430786743
876	0.2429889526
877	0.2428833313
878	0.2427790985
879	0.2426624908
880	0.2425450439
881	0.2424877014
882	0.2424422607
883	0.2423961334
884	0.242321228
885	0.2422500458
886	0.2421621399
887	0.2420787354
888	0.2419937744
889	0.2419442749
890	0.2418296051
891	0.2417705994
892	0.2417025146
893	0.241615097
894	0.2415200348
895	0.2414836426
896	0.241404007
897	0.2413232574
898	0.2412431793
899	0.241166687
900	0.2410939026
901	0.2410280457
902	0.2409606781
903	0.2409012146
904	0.240859787
905	0.2408152618
906	0.2407110901
907	0.2405847168
908	0.2404931183
909	0.2403982849
910	0.2403439026
911	0.2402564545
912	0.2402499237
913	0.2401731262
914	0.2400211182
915	0.2399378815
916	0.2398683014
917	0.2397983398
918	0.2396979218
919	0.2395831757
920	0.2395116272
921	0.2394284515
922	0.2393462067
923	0.2392683105
924	0.2391719055
925	0.2391078033
926	0.2389834595
927	0.2388829346
928	0.2388175201
929	0.23873909
930	0.2386723328
931	0.2385969696
932	0.2384840698
933	0.2384038391
934	0.2382961884
935	0.2382080231
936	0.2381399231
937	0.2380666046
938	0.2379977417
939	0.2379217529
940	0.2378618469
941	0.2377905426
942	0.2377234497
943	0.2376231842
944	0.2375584412
945	0.2374494019
946	0.237403595
947	0.2373158112
948	0.2372460632
949	0.2371819
950	0.2370892181
951	0.2369911804
952	0.2369119568
953	0.2368567047
954	0.236769165
955	0.2366929321
956	0.236614624
957	0.2365473938
958	0.236502594
959	0.2364280548
960	0.2363565979
961	0.2363300476
962	0.2362503052
963	0.2361974182
964	0.2361274109
965	0.2360540771
966	0.2359791565
967	0.2358598328
968	0.2357963104
969	0.2357311707
970	0.2356455994
971	0.2355872192
972	0.2355379944
973	0.2354766388
974	0.2354198303
975	0.2353588715
976	0.2353007813
977	0.2352254639
978	0.2351345367
979	0.235027298
980	0.2349345703
981	0.2348900452
982	0.2348288269
983	0.234747818
984	0.2346797485
985	0.234621048
986	0.2345298309
987	0.2344359131
988	0.2343335571
989	0.2342337799
990	0.234151062
991	0.2340686951
992	0.234009079
993	0.2339097595
994	0.2338345947
995	0.2337722168
996	0.233703949
997	0.2336413269
998	0.2335843353
999	0.2334917297
